"RESPONDED_SURVEY","RESIDENT","EVAL_MAJOR","COLLEGE_CODE1","COLLEGE_NAME1","MAJOR_CODE1","COLLEGE_CODE2","COLLEGE_NAME2","MAJOR_CODE2","SP16_ENRL_HRS_AT_CENSUS","SP16_TERM_UI_GRADED._HRS","SP16_TERM_UI_TOTAL_HOURS","ACT","ACTE","ACTM","ACTR","ACTS","AGE","DECLINETOSTATE","ETHNICITY_LOC","GENDER","HSRANK","Semester.Hours","TERM1","TOTAL_UNITS","WHITE","HS_PERCENTILE_RANK","IS_PARENT_HIGHER_ED_GRAD","TFC_LEVEL","TFC_LEVEL_GRAD","TFC_MOD_ASSIGN2015","TFC_INVITED_PREVIOUS","TFC_NONRESIDENT","TFC_STATUS","TFC_YEAR"
"N","Y","N","A","College of Liberal Arts and Sciences","THERA_REC_INT",NA,NA,NA,14,11,12,19,18,19,19,21,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,8,2,70,"Y",NA,"N","(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","INTD_STDS",NA,NA,NA,14,14,14,NA,NA,NA,NA,NA,22,NA,"Multi-Racial","M",NA,67,2,73,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","N","Y","A","College of Liberal Arts and Sciences","COMP_SCI",NA,NA,NA,15,11,12,NA,NA,NA,NA,NA,20,NA,"Nonresident Alien","M",NA,31,4,34,NA,NA,NA,"(1,2]","(1,2]","[3,3]","[0,0]","[1,1]","[1,1]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,16,16,16,25,26,26,24,25,20,NA,"White, not of Hispanic or Latino(a) origin","M",NA,45,2,50,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,15,15,15,24,24,19,29,23,21,NA,"White, not of Hispanic or Latino(a) origin","F",55,71,2,83,"Y",55,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","B","Tippie College of Business","MKTG","A","College of Liberal Arts and Sciences","JRNL_MC",20,18,20,NA,NA,NA,NA,NA,20,NA,"Nonresident Alien","F",NA,80,2,84,NA,NA,NA,"(2,3]","(2,3]","(3,5]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","JRNL_MC",NA,NA,NA,14,9,12,22,23,22,23,19,20,NA,"White, not of Hispanic or Latino(a) origin","F",79,41,2,42,"Y",79,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ANTH","A","College of Liberal Arts and Sciences","HIST",16,15,16,27,28,26,31,23,20,NA,"White, not of Hispanic or Latino(a) origin","F",61,46,2,74.5,"Y",61,"N","(2,3]","(2,3]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","POL_SCI",NA,NA,NA,16,10,10,20,19,19,23,20,19,NA,"White, not of Hispanic or Latino(a) origin","M",79,13,2,28,"Y",79,"N","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","CHEM","A","College of Liberal Arts and Sciences","PRE_MED",12,12,12,26,26,27,27,24,21,NA,"Asian","F",93,103,2,115,NA,93,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"Y","N","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS","A","College of Liberal Arts and Sciences","PRE_PHYS_THER",13,13,13,NA,NA,NA,NA,NA,19,NA,"Nonresident Alien","F",NA,44,2,45,NA,NA,NA,"(1,2]","(1,2]","(3,5]","[0,0]","[1,1]","[1,1]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,14,12,12,27,25,23,29,30,21,NA,"White, not of Hispanic or Latino(a) origin","F",77,72,2,84,"Y",77,"N","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
