"","COLLEGE","INCOME","OVERAGE","LEFTOVER","HOUSE","HANDSET_PRICE","OVER_15MINS_CALLS_PER_MONTH","AVERAGE_CALL_DURATION","REPORTED_SATISFACTION","REPORTED_USAGE_LEVEL","CONSIDERING_CHANGE_OF_PLAN","result"
"1","1",86865,60,18,468304,294,4,1,"1","0","2","LEAVE"
"2","1",99131,0,51,236394,313,1,2,"4","4","2","LEAVE"
"3","0",116499,172,80,583319,673,22,2,"4","3","2","LEAVE"
"4","0",39615,74,0,521323,144,5,15,"4","1","4","LEAVE"
"5","0",137678,53,10,238300,623,5,5,"0","0","2","LEAVE"
"6","0",107356,64,22,499964,671,5,5,"0","1","1","LEAVE"
"7","0",143731,72,17,180867,742,4,5,"4","1","2","LEAVE"
"8","1",35616,154,17,235497,207,14,5,"0","3","2","LEAVE"
"9","1",36034,198,0,245512,155,29,15,"4","1","2","LEAVE"
"10","1",62875,0,0,945379,701,1,10,"2","1","0","LEAVE"
"11","1",44765,60,8,168230,194,3,6,"0","0","4","LEAVE"
"12","1",103203,239,0,953902,430,28,14,"0","0","4","LEAVE"
"13","0",106367,54,6,205678,630,5,6,"4","2","4","LEAVE"
"14","1",102721,189,39,384962,549,23,1,"1","3","3","LEAVE"
"15","0",131337,54,0,168103,426,4,2,"2","0","2","LEAVE"
"16","1",26057,227,64,279704,131,4,2,"0","2","4","LEAVE"
"17","0",76297,0,0,380030,380,1,10,"4","4","4","LEAVE"
"18","0",131848,198,19,943186,620,10,5,"1","1","0","LEAVE"
"19","0",45250,228,66,457933,216,1,2,"0","4","2","LEAVE"
"20","0",139327,184,0,763693,841,29,15,"1","4","0","LEAVE"
"21","0",45961,77,8,364730,190,3,5,"4","4","2","LEAVE"
"22","0",49578,163,0,980139,130,28,12,"4","0","0","LEAVE"
"23","0",35384,181,72,514766,190,1,2,"0","0","2","LEAVE"
"24","1",41863,194,7,459256,165,29,5,"4","0","4","LEAVE"
"25","1",50163,0,14,357428,179,0,5,"0","0","2","LEAVE"
"26","0",126126,191,22,540168,498,19,6,"0","1","2","LEAVE"
"27","0",34600,237,46,288535,169,22,1,"0","4","0","LEAVE"
"28","0",93351,211,0,568730,314,1,8,"0","0","3","LEAVE"
"29","0",106045,184,29,471057,683,15,2,"0","1","3","LEAVE"
"30","0",74356,166,0,338630,385,19,5,"4","4","2","LEAVE"
"31","0",80477,0,0,561545,369,13,12,"4","4","4","LEAVE"
"32","0",58363,190,32,897156,329,16,1,"4","2","3","LEAVE"
"33","1",93675,64,7,168842,308,0,4,"1","3","2","LEAVE"
"34","0",90918,145,0,181561,281,13,8,"2","0","2","LEAVE"
"35","1",151628,0,0,243838,823,0,14,"0","1","2","LEAVE"
"36","0",143453,57,0,886388,564,4,10,"1","4","0","LEAVE"
"37","0",144907,183,21,164791,891,5,5,"1","1","2","LEAVE"
"38","0",30510,58,28,253591,236,5,1,"0","2","4","LEAVE"
"39","1",119582,43,0,409398,890,5,6,"0","0","2","LEAVE"
"40","0",46503,191,0,294189,134,26,15,"2","4","4","LEAVE"
"41","1",141073,201,23,587635,704,19,5,"0","1","0","LEAVE"
"42","0",49779,0,47,888229,163,1,2,"2","2","0","LEAVE"
"43","1",65900,214,14,961585,313,0,5,"0","4","4","LEAVE"
